page	words	chars	first_text
1	16	94	EUAGELIA full proof - 1 A Reconstruction of the Earliest Sayings Gospel Full book
2	823	4141	EUAGELIA full proof - 2 Clean Reconstructed Text 1 Whoever finds the interpretation of
3	57	396	EUAGELIA full proof - 3 How To Read This Edition The first reader-facing layer
4	9	60	EUAGELIA full proof - 4 Full 114-Logion Commentary Appendix
5	117	741	EUAGELIA full proof - 5 How To Use This Appendix The clean reconstructed text
6	445	2922	EUAGELIA full proof - 6 Logion 1 Reconstruction Status • Reader status: included in
7	447	2901	EUAGELIA full proof - 7 Logion 2 Reconstruction Status • Reader status: included in
8	470	3009	EUAGELIA full proof - 8 Logion 3 Reconstruction Status • Reader status: included in
9	463	2999	EUAGELIA full proof - 9 Logion 4 Reconstruction Status • Reader status: included in
10	444	2934	EUAGELIA full proof - 10 Logion 5 Reconstruction Status • Reader status: included in
11	414	2661	EUAGELIA full proof - 11 Logion 6 Reconstruction Status • Reader status: included in
12	442	2872	EUAGELIA full proof - 12 Logion 7 Reconstruction Status • Reader status: kept in
13	438	2819	EUAGELIA full proof - 13 Logion 8 Reconstruction Status • Reader status: kept in
14	440	2856	EUAGELIA full proof - 14 Logion 9 Reconstruction Status • Reader status: included in
15	408	2719	EUAGELIA full proof - 15 Logion 10 Reconstruction Status • Reader status: included in
16	432	2852	EUAGELIA full proof - 16 Logion 11 Reconstruction Status • Reader status: kept in
17	438	2842	EUAGELIA full proof - 17 Logion 12 Reconstruction Status • Reader status: deferred to
18	438	2842	EUAGELIA full proof - 18 Logion 13 Reconstruction Status • Reader status: deferred to
19	428	2794	EUAGELIA full proof - 19 Logion 14 Reconstruction Status • Reader status: deferred to
20	438	2842	EUAGELIA full proof - 20 Logion 15 Reconstruction Status • Reader status: deferred to
21	417	2828	EUAGELIA full proof - 21 Logion 16 Reconstruction Status • Reader status: included in
22	426	2792	EUAGELIA full proof - 22 Logion 17 Reconstruction Status • Reader status: kept in
23	417	2752	EUAGELIA full proof - 23 Logion 18 Reconstruction Status • Reader status: kept in
24	438	2842	EUAGELIA full proof - 24 Logion 19 Reconstruction Status • Reader status: deferred to
25	432	2817	EUAGELIA full proof - 25 Logion 20 Reconstruction Status • Reader status: included in
26	414	2710	EUAGELIA full proof - 26 Logion 21 Reconstruction Status • Reader status: deferred as
27	415	2760	EUAGELIA full proof - 27 Logion 22 Reconstruction Status • Reader status: included in
28	433	2788	EUAGELIA full proof - 28 Logion 23 Reconstruction Status • Reader status: deferred to
29	435	2824	EUAGELIA full proof - 29 Logion 24 Reconstruction Status • Reader status: deferred to
30	413	2732	EUAGELIA full proof - 30 Logion 25 Reconstruction Status • Reader status: included in
31	453	2901	EUAGELIA full proof - 31 Logion 26 Reconstruction Status • Reader status: included in
32	442	2856	EUAGELIA full proof - 32 Logion 27 Reconstruction Status • Reader status: kept in
33	424	2773	EUAGELIA full proof - 33 Logion 28 Reconstruction Status • Reader status: kept in
34	435	2807	EUAGELIA full proof - 34 Logion 29 Reconstruction Status • Reader status: deferred to
35	438	2831	EUAGELIA full proof - 35 Logion 30 Reconstruction Status • Reader status: deferred to
36	443	2874	EUAGELIA full proof - 36 Logion 31 Reconstruction Status • Reader status: included in
37	434	2802	EUAGELIA full proof - 37 Logion 32 Reconstruction Status • Reader status: included in
38	456	2953	EUAGELIA full proof - 38 Logion 33 Reconstruction Status • Reader status: included in
39	419	2733	EUAGELIA full proof - 39 Logion 34 Reconstruction Status • Reader status: included in
40	429	2782	EUAGELIA full proof - 40 Logion 35 Reconstruction Status • Reader status: included in
41	440	2866	EUAGELIA full proof - 41 Logion 36 Reconstruction Status • Reader status: included in
42	424	2777	EUAGELIA full proof - 42 Logion 37 Reconstruction Status • Reader status: kept in
43	424	2779	EUAGELIA full proof - 43 Logion 38 Reconstruction Status • Reader status: kept in
44	460	2982	EUAGELIA full proof - 44 Logion 39 Reconstruction Status • Reader status: included in
45	428	2787	EUAGELIA full proof - 45 Logion 40 Reconstruction Status • Reader status: kept in
46	427	2780	EUAGELIA full proof - 46 Logion 41 Reconstruction Status • Reader status: included in
47	424	2761	EUAGELIA full proof - 47 Logion 42 Reconstruction Status • Reader status: kept in
48	435	2809	EUAGELIA full proof - 48 Logion 43 Reconstruction Status • Reader status: deferred to
49	438	2820	EUAGELIA full proof - 49 Logion 44 Reconstruction Status • Reader status: kept in
50	399	2643	EUAGELIA full proof - 50 Logion 45 Reconstruction Status • Reader status: included in
51	454	3014	EUAGELIA full proof - 51 Logion 46 Reconstruction Status • Reader status: included in
52	424	2749	EUAGELIA full proof - 52 Logion 47 Reconstruction Status • Reader status: included in
53	431	2797	EUAGELIA full proof - 53 Logion 48 Reconstruction Status • Reader status: deferred to
54	429	2779	EUAGELIA full proof - 54 Logion 49 Reconstruction Status • Reader status: deferred to
55	428	2783	EUAGELIA full proof - 55 Logion 50 Reconstruction Status • Reader status: deferred to
56	432	2796	EUAGELIA full proof - 56 Logion 51 Reconstruction Status • Reader status: deferred to
57	415	2734	EUAGELIA full proof - 57 Logion 52 Reconstruction Status • Reader status: deferred to
58	438	2842	EUAGELIA full proof - 58 Logion 53 Reconstruction Status • Reader status: deferred to
59	430	2832	EUAGELIA full proof - 59 Logion 54 Reconstruction Status • Reader status: included in
60	448	2909	EUAGELIA full proof - 60 Logion 55 Reconstruction Status • Reader status: kept in
61	418	2719	EUAGELIA full proof - 61 Logion 56 Reconstruction Status • Reader status: deferred to
62	438	2820	EUAGELIA full proof - 62 Logion 57 Reconstruction Status • Reader status: kept in
63	410	2701	EUAGELIA full proof - 63 Logion 58 Reconstruction Status • Reader status: kept in
64	413	2712	EUAGELIA full proof - 64 Logion 59 Reconstruction Status • Reader status: deferred to
65	420	2747	EUAGELIA full proof - 65 Logion 60 Reconstruction Status • Reader status: deferred to
66	433	2809	EUAGELIA full proof - 66 Logion 61 Reconstruction Status • Reader status: deferred to
67	431	2770	EUAGELIA full proof - 67 Logion 62 Reconstruction Status • Reader status: deferred to
